2026-07-05 17:10:04,商业服务,讯飞听见,ifl***@iflytek.com,录音转写包-30小时-连续包月,支出,6.00,农业银行储蓄卡(9270),交易成功,2026070523001428081458724449	,2260705252640515437	,,
2026-07-05 08:14:12,餐饮美食,如意馄饨,it***@ruyi-ht.com,如意馄饨(武汉同城广场店)(K2026070508140614395566940109),支出,8.90,农业银行储蓄卡(9270),交易成功,2026070522001428081400105747	,140262041512126070508141003999	,,
2026-07-03 23:01:14,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,3.95,农业银行储蓄卡(9270),交易成功,2026070323001428081443082807	,0003N202607030000000016381989557	,,
2026-07-03 22:05:42,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,36.90,工商银行储蓄卡(1723),交易成功,2026070323001428081445821177	,0001N202607030000000016383230487	,,
2026-07-03 19:07:12,餐饮美食,潜江雷乐卤虾王（西北湖店）,/,潜江雷乐卤虾王（西北湖店）,支出,18.00,农业银行储蓄卡(9270),交易成功,2026070322001428081444916612	,1720180330024764010461368606681800571405450	,,
2026-07-03 15:18:30,日用百货,广州璇飒科技有限公司,iwo***@163.com,元宝充值,支出,17.99,工商银行储蓄卡(1723),交易成功,2026070322001428081446520240	,dLUDX202607031783063053488467	,,
2026-07-03 14:09:58,交通出行,高德打车,aut***@autonavi.com,退款-高德打车订单,不计收支,0.96,工商银行储蓄卡(1723),退款成功,2026070323001428081444426190_a_10045491006890074320173118_1_96	,0001N202607030000000016452216860	,,
2026-07-03 13:11:10,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,38.30,工商银行储蓄卡(1723),交易成功,2026070323001428081444426190	,0001N202607030000000016452216860	,,
2026-07-03 00:03:33,交通出行,东方航空,mur***@ceair.com,机票,支出,748.00,工商银行储蓄卡(1723),交易成功,2026070323001428081439053182	,2026070387661999	,,
2026-06-29 17:38:18,餐饮美食,娟娟水果批发,/,商户张又红,支出,5.00,农业银行储蓄卡(9270),交易成功,2026062922001428081418504549	,781266000048180000173361139622126062917381133032	,,
2026-06-26 10:15:09,餐饮美食,海鲜馄饨,150******98,收钱码收款,支出,4.00,工商银行储蓄卡(1723)&碰一下立减,交易成功,2026062622001428081447903507	,17824401075242156528083	,,
2026-06-21 12:37:35,餐饮美食,百亿**选,byb***@service.aliyun.com,安慕希牛油果燕麦酸奶200g*10盒,支出,31.89,工商银行储蓄卡(1723),交易成功,2026062123001128081414733531	,T200P3309347605972083568	,,
2026-06-20 17:07:05,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,千寻寿司の鳗鱼饭肥牛饭(财大华农店)外卖订单,支出,17.20,工商银行储蓄卡(1723),交易成功,2026062023001128081406460462	,13170600726062014991243618786	,,
2026-06-20 11:47:00,日用百货,中百罗森,whz***@sina.com,Lawson,支出,6.61,农业银行储蓄卡(9270)&农业银行立减金,交易成功,2026062022001428081406955583	,351338015072901	,,
2026-06-19 11:29:36,退款,佰姿**店,bzy***@163.com,退款-0d肉色丝袜女士夏季超薄款防勾丝遮瑕自然裸感美肤光腿神器连裤袜,不计收支,13.59,工商银行储蓄卡(1723),退款成功,2026061323001128081408031910_3307533170110029194_advance	,T200P3307533170110029194	,,
2026-06-18 12:12:19,餐饮美食,武汉市港仔卤肉铺财大店,/,商户李智华,支出,9.17,农业银行储蓄卡(9270)&农业银行立减金&工作日到店支付立减券,交易成功,2026061822001428081450348518	,63106600004857000220260618MMhef36s	,,
2026-06-17 15:13:50,美容美发,ku**店,kus***@163.com,蔻斯汀花澄洗发水控油去屑柔顺强韧护发洗发露,支出,17.90,工商银行储蓄卡(1723),交易成功,2026061723001128081445757731	,T200P3308928816906047558	,,
2026-06-17 15:13:50,美容美发,小米**店,mit***@xiaomi.com,小米官旗米家电动冲牙器F300家用便携式水牙线口腔洁牙生日礼物,支出,171.00,工商银行储蓄卡(1723),等待确认收货,2026061723001128081449862605	,T200P3308928816906038376	,,
2026-06-17 10:46:12,退款,qi**1,805***@qq.com,退款-小众不撞款套装不规则修身短袖T恤上衣花苞半身裙女夏辣妹两件套,不计收支,84.80,工商银行储蓄卡(1723),退款成功,2026061323001128081406043165_3307502859231029194_advance	,T200P3307502859231029194	,,
2026-06-16 15:30:55,服饰装扮,创**,cyt***@126.com,懒人皮带隐形无痕裤带男女弹力松紧学生军训牛仔裤子腰带松紧神器,支出,6.96,工商银行储蓄卡(1723),交易成功,2026061623001128081437016898	,T200P3308079326577038376	,,
2026-06-16 12:31:31,餐饮美食,黑芝麻糊财大小吃,/,商户张晓凤,支出,7.92,工商银行储蓄卡(1723)&工作日到店支付立减券,交易成功,2026061623001428081432756132	,861266000048180000198060197222326061612313131204	,,
2026-06-15 07:44:22,餐饮美食,巴比鲜包.,150******89,收钱码收款,支出,5.42,工商银行储蓄卡(1723)&工作日到店支付立减券,交易成功,2026061522001428081417067876	,17814806616242156528083	,,
2026-06-14 13:58:11,医疗健康,淘宝闪购,ele***@service.aliyun.com,益丰大药房(武汉梅花坞店),支出,22.41,工商银行储蓄卡(1723),交易成功,2026061423001128081417295991	,13130600726061467573341618786	,,
2026-06-13 15:34:02,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-06-13 15:33:58,支出,1.60,农业银行储蓄卡(9270),交易成功,2026061322001428081403650744	,811_0000000000218945_20260613153358_38348	,,
2026-06-13 15:30:52,服饰装扮,佰姿**店,bzy***@163.com,0d肉色丝袜女士夏季超薄款防勾丝遮瑕自然裸感美肤光腿神器连裤袜,支出,13.59,工商银行储蓄卡(1723),交易关闭,2026061323001128081408031910	,T200P3307533170110029194	,,
2026-06-13 15:28:29,服饰装扮,妆兮**店,yli***@163.com,无痕安全裤防走光女夏薄款女团打底裤免穿内裤二合一新款内搭短裤,支出,13.80,工商银行储蓄卡(1723),交易成功,2026061323001128081403699860	,T200P3308155536461029194	,,
2026-06-13 15:24:39,服饰装扮,qi**1,805***@qq.com,小众不撞款套装不规则修身短袖T恤上衣花苞半身裙女夏辣妹两件套,支出,84.80,工商银行储蓄卡(1723),交易关闭,2026061323001128081406043165	,T200P3307502859231029194	,,
2026-06-13 13:16:16,交通出行,武汉市公共交通集团有限责任公司,whg***@sina.com,乘车时间：2026-06-13 13:16:12,支出,1.60,农业银行储蓄卡(9270),交易成功,2026061322001428081405420287	,811_0000000000218954_20260613131612_53150	,,
2026-06-13 12:13:44,文化休闲,北京大麦文化传媒发展有限公司,pia***@alibaba-inc.com,大麦网演出赛事票品,支出,180.00,工商银行储蓄卡(1723),交易成功,2026061322001428081406377594	,11120600726061342682143103062	,,
2026-06-13 11:04:54,退款,京迪**店,379***@qq.com,退款-瑜伽垫健身垫家用女士2026新款专业防滑减震静音加厚加宽运动地垫,不计收支,17.00,工商银行储蓄卡(1723),退款成功,2026060423001128081457100754_3305914610492038376_advance	,T200P3305914610492038376	,,
2026-06-13 08:03:04,餐饮美食,巴比鲜包.,150******89,收钱码收款,支出,2.50,工商银行储蓄卡(1723),交易成功,2026061322001428081405375886	,17813089824242156528083	,,
2026-06-12 17:45:17,日用百货,中百罗森,whz***@sina.com,Lawson,支出,13.80,农业银行储蓄卡(9270),交易成功,2026061222001428081402935364	,351338014673701	,,
2026-06-10 15:54:09,数码电器,tb**0,190******03,扣子积分，扣子ai积分，coze积分，扣子编程积分直接拍！,支出,10.88,工商银行储蓄卡(1723),交易成功,2026061023001128081444762132	,T200P3306934239001074386	,,
2026-06-10 09:18:12,餐饮美食,巴比鲜包.,150******89,收钱码收款,支出,4.00,工商银行储蓄卡(1723),交易成功,2026061022001428081439756319	,17810542889242156528083	,,
